x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	y
39	management	single	고학력	no	255	yes	no	unknown	5	may	1	-1	0	unknown	no
52	entrepreneur	married	중학력	no	113	yes	yes	unknown	5	may	1	-1	0	unknown	no
36	technician	single	중학력	no	265	yes	yes	unknown	5	may	1	-1	0	unknown	no
57	technician	married	중학력	no	839	no	yes	unknown	5	may	1	-1	0	unknown	no
49	management	married	고학력	no	378	yes	no	unknown	5	may	1	-1	0	unknown	no
60	admin.	married	중학력	no	39	yes	yes	unknown	5	may	1	-1	0	unknown	no
59	blue-collar	married	중학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
51	management	married	고학력	no	10635	yes	no	unknown	5	may	1	-1	0	unknown	no
57	technician	divorced	중학력	no	63	yes	no	unknown	5	may	1	-1	0	unknown	no
36	admin.	divorced	중학력	no	506	yes	no	unknown	5	may	1	-1	0	unknown	no
37	admin.	single	중학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
44	services	divorced	중학력	no	2586	yes	no	unknown	5	may	1	-1	0	unknown	no
50	management	married	중학력	no	49	yes	no	unknown	5	may	2	-1	0	unknown	no
60	blue-collar	married	unknown	no	104	yes	no	unknown	5	may	1	-1	0	unknown	no
54	retired	married	중학력	no	529	yes	no	unknown	5	may	1	-1	0	unknown	no
58	retired	married	unknown	no	96	yes	no	unknown	5	may	1	-1	0	unknown	no
44	technician	married	중학력	no	0	yes	no	unknown	5	may	2	-1	0	unknown	no
55	technician	divorced	중학력	no	0	no	no	unknown	5	may	1	-1	0	unknown	no
29	management	single	고학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
54	blue-collar	married	중학력	no	1291	yes	no	unknown	5	may	1	-1	0	unknown	no
32	management	married	고학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
38	entrepreneur	single	고학력	no	243	no	yes	unknown	5	may	1	-1	0	unknown	no
38	management	single	고학력	no	424	yes	no	unknown	5	may	1	-1	0	unknown	no
47	blue-collar	married	unknown	no	306	yes	no	unknown	5	may	1	-1	0	unknown	no
40	blue-collar	single	unknown	no	24	yes	no	unknown	5	may	1	-1	0	unknown	no
46	services	married	저학력	no	179	yes	no	unknown	5	may	1	-1	0	unknown	no
32	admin.	married	고학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
53	technician	divorced	중학력	no	989	yes	no	unknown	5	may	1	-1	0	unknown	no
57	blue-collar	married	저학력	no	249	yes	no	unknown	5	may	1	-1	0	unknown	no
33	services	married	중학력	no	790	yes	no	unknown	5	may	1	-1	0	unknown	no
49	blue-collar	married	unknown	no	154	yes	no	unknown	5	may	1	-1	0	unknown	no
51	management	married	고학력	no	6530	yes	no	unknown	5	may	1	-1	0	unknown	no
60	retired	married	고학력	no	100	no	no	unknown	5	may	1	-1	0	unknown	no
59	management	divorced	고학력	no	59	yes	no	unknown	5	may	1	-1	0	unknown	no
55	technician	married	중학력	no	1205	yes	no	unknown	5	may	2	-1	0	unknown	no
35	blue-collar	single	중학력	no	12223	yes	yes	unknown	5	may	1	-1	0	unknown	no
57	blue-collar	married	중학력	no	5935	yes	yes	unknown	5	may	1	-1	0	unknown	no
31	services	married	중학력	no	25	yes	yes	unknown	5	may	1	-1	0	unknown	no
54	management	married	중학력	no	282	yes	yes	unknown	5	may	1	-1	0	unknown	no
55	blue-collar	married	저학력	no	23	yes	no	unknown	5	may	1	-1	0	unknown	no
43	technician	married	중학력	no	1937	yes	no	unknown	5	may	1	-1	0	unknown	no
44	blue-collar	married	중학력	no	582	no	yes	unknown	5	may	1	-1	0	unknown	no
55	services	divorced	중학력	no	91	no	no	unknown	5	may	1	-1	0	unknown	no
49	services	divorced	중학력	no	0	yes	yes	unknown	5	may	1	-1	0	unknown	no
55	services	divorced	중학력	yes	1	yes	no	unknown	5	may	1	-1	0	unknown	no
47	services	divorced	중학력	no	164	no	no	unknown	5	may	1	-1	0	unknown	no
42	technician	single	중학력	no	690	yes	no	unknown	5	may	1	-1	0	unknown	no
59	admin.	married	중학력	no	2343	yes	no	unknown	5	may	1	-1	0	unknown	yes
46	self-employed	married	고학력	no	137	yes	yes	unknown	5	may	1	-1	0	unknown	no
51	blue-collar	married	저학력	no	173	yes	no	unknown	5	may	2	-1	0	unknown	no
56	admin.	married	중학력	no	45	no	no	unknown	5	may	1	-1	0	unknown	yes
41	technician	married	중학력	no	1270	yes	no	unknown	5	may	1	-1	0	unknown	yes
46	management	divorced	중학력	no	16	yes	yes	unknown	5	may	2	-1	0	unknown	no
57	retired	married	중학력	no	486	yes	no	unknown	5	may	2	-1	0	unknown	no
42	management	single	중학력	no	50	no	no	unknown	5	may	1	-1	0	unknown	no
60	admin.	married	중학력	no	290	yes	no	unknown	5	may	1	-1	0	unknown	no
60	blue-collar	married	unknown	no	54	yes	no	unknown	5	may	1	-1	0	unknown	no
36	management	married	고학력	no	101	yes	yes	unknown	5	may	1	-1	0	unknown	no
55	blue-collar	married	중학력	no	383	no	no	unknown	5	may	1	-1	0	unknown	no
60	retired	married	고학력	no	81	yes	no	unknown	5	may	1	-1	0	unknown	no
39	technician	married	중학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
46	management	married	고학력	no	229	yes	no	unknown	5	may	1	-1	0	unknown	no
53	blue-collar	married	저학력	no	90	no	no	unknown	5	may	1	-1	0	unknown	no
52	blue-collar	married	저학력	no	128	yes	no	unknown	5	may	1	-1	0	unknown	no
59	blue-collar	married	저학력	no	179	yes	no	unknown	5	may	3	-1	0	unknown	no
27	technician	single	고학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
44	blue-collar	married	중학력	no	54	yes	no	unknown	5	may	1	-1	0	unknown	no
47	technician	married	고학력	no	151	yes	no	unknown	5	may	1	-1	0	unknown	no
34	admin.	married	중학력	no	61	no	yes	unknown	5	may	1	-1	0	unknown	no
59	retired	single	중학력	no	30	yes	no	unknown	5	may	1	-1	0	unknown	no
45	management	married	고학력	no	523	yes	no	unknown	5	may	2	-1	0	unknown	no
29	services	divorced	중학력	no	31	yes	no	unknown	5	may	1	-1	0	unknown	no
46	technician	divorced	중학력	no	79	no	no	unknown	5	may	1	-1	0	unknown	no
36	blue-collar	married	저학력	no	448	yes	no	unknown	5	may	1	-1	0	unknown	no
59	retired	divorced	저학력	no	81	yes	no	unknown	5	may	1	-1	0	unknown	no
44	blue-collar	married	중학력	no	144	yes	no	unknown	5	may	2	-1	0	unknown	no
41	admin.	married	중학력	no	351	yes	no	unknown	5	may	1	-1	0	unknown	no
59	management	divorced	고학력	no	262	no	no	unknown	5	may	1	-1	0	unknown	no
56	technician	divorced	unknown	no	56	yes	no	unknown	5	may	1	-1	0	unknown	no
51	blue-collar	married	중학력	no	26	yes	no	unknown	5	may	1	-1	0	unknown	no
34	admin.	married	unknown	no	3	yes	no	unknown	5	may	3	-1	0	unknown	no
43	services	married	중학력	no	41	yes	yes	unknown	5	may	2	-1	0	unknown	no
52	technician	married	고학력	no	7	no	yes	unknown	5	may	1	-1	0	unknown	no
33	technician	single	중학력	no	105	yes	no	unknown	5	may	2	-1	0	unknown	no
29	admin.	single	중학력	no	818	yes	yes	unknown	5	may	1	-1	0	unknown	no
31	blue-collar	married	중학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
55	services	married	중학력	no	2476	yes	no	unknown	5	may	1	-1	0	unknown	yes
55	management	married	unknown	no	1185	no	no	unknown	5	may	1	-1	0	unknown	no
32	admin.	single	중학력	no	217	yes	no	unknown	5	may	1	-1	0	unknown	no
38	technician	single	중학력	no	1685	yes	no	unknown	5	may	1	-1	0	unknown	no
55	admin.	single	중학력	no	802	yes	yes	unknown	5	may	2	-1	0	unknown	no
28	unemployed	single	고학력	no	0	yes	no	unknown	5	may	2	-1	0	unknown	no
23	blue-collar	married	중학력	no	94	yes	no	unknown	5	may	1	-1	0	unknown	no
32	technician	single	중학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
43	services	single	unknown	no	0	no	no	unknown	5	may	1	-1	0	unknown	no
32	blue-collar	married	중학력	no	517	yes	no	unknown	5	may	1	-1	0	unknown	no
46	blue-collar	married	중학력	no	265	yes	no	unknown	5	may	1	-1	0	unknown	no
53	housemaid	divorced	저학력	no	947	yes	no	unknown	5	may	1	-1	0	unknown	no
34	self-employed	single	중학력	no	3	yes	no	unknown	5	may	1	-1	0	unknown	no
57	unemployed	married	고학력	no	42	no	no	unknown	5	may	1	-1	0	unknown	no
37	blue-collar	married	중학력	no	37	yes	no	unknown	5	may	1	-1	0	unknown	no
59	blue-collar	married	중학력	no	57	yes	no	unknown	5	may	1	-1	0	unknown	no
33	services	married	중학력	no	22	yes	no	unknown	5	may	1	-1	0	unknown	no
56	blue-collar	divorced	저학력	no	8	yes	no	unknown	5	may	2	-1	0	unknown	no
48	unemployed	married	중학력	no	293	yes	no	unknown	5	may	1	-1	0	unknown	no
43	services	married	저학력	no	3	yes	no	unknown	5	may	2	-1	0	unknown	no
54	blue-collar	married	저학력	no	348	yes	no	unknown	5	may	2	-1	0	unknown	no
26	student	single	중학력	no	0	yes	no	unknown	5	may	2	-1	0	unknown	no
39	management	married	중학력	no	18	yes	no	unknown	5	may	1	-1	0	unknown	no
50	technician	married	저학력	no	139	no	no	unknown	5	may	2	-1	0	unknown	no
41	services	married	중학력	no	0	yes	no	unknown	5	may	2	-1	0	unknown	no
51	blue-collar	married	unknown	no	1883	yes	no	unknown	5	may	1	-1	0	unknown	no
60	retired	divorced	중학력	no	216	yes	no	unknown	5	may	1	-1	0	unknown	no
52	blue-collar	married	중학력	no	782	yes	no	unknown	5	may	3	-1	0	unknown	no
48	blue-collar	married	중학력	no	904	yes	no	unknown	5	may	2	-1	0	unknown	no
48	services	married	unknown	no	1705	yes	no	unknown	5	may	1	-1	0	unknown	no
39	technician	single	고학력	no	47	yes	no	unknown	5	may	1	-1	0	unknown	no
47	services	single	중학력	no	176	yes	no	unknown	5	may	2	-1	0	unknown	no
40	blue-collar	married	중학력	no	1225	yes	no	unknown	5	may	5	-1	0	unknown	no
45	technician	married	중학력	no	86	yes	no	unknown	5	may	1	-1	0	unknown	no
26	admin.	single	중학력	no	82	yes	no	unknown	5	may	1	-1	0	unknown	no
52	management	married	고학력	no	271	yes	no	unknown	5	may	1	-1	0	unknown	no
54	technician	married	중학력	no	1378	yes	no	unknown	5	may	1	-1	0	unknown	no
50	blue-collar	married	저학력	no	0	no	no	unknown	5	may	3	-1	0	unknown	no
35	blue-collar	married	중학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
44	services	married	중학력	no	1357	yes	yes	unknown	5	may	1	-1	0	unknown	no
53	entrepreneur	married	unknown	no	19	yes	no	unknown	5	may	1	-1	0	unknown	no
35	retired	single	저학력	no	434	no	no	unknown	5	may	1	-1	0	unknown	no
60	admin.	divorced	중학력	no	92	yes	no	unknown	5	may	1	-1	0	unknown	no
53	admin.	divorced	중학력	no	1151	yes	no	unknown	5	may	1	-1	0	unknown	no
48	unemployed	married	중학력	no	41	yes	no	unknown	5	may	2	-1	0	unknown	no
34	technician	married	중학력	no	51	yes	no	unknown	5	may	2	-1	0	unknown	no
54	services	married	중학력	no	214	yes	no	unknown	5	may	2	-1	0	unknown	no
51	management	married	중학력	no	1161	yes	no	unknown	5	may	1	-1	0	unknown	no
31	services	married	고학력	no	37	yes	no	unknown	5	may	1	-1	0	unknown	no
35	technician	divorced	중학력	no	787	yes	no	unknown	5	may	2	-1	0	unknown	no
35	services	married	중학력	no	59	yes	no	unknown	5	may	1	-1	0	unknown	no
38	technician	married	중학력	no	253	yes	no	unknown	5	may	1	-1	0	unknown	no
36	admin.	married	고학력	no	211	yes	no	unknown	5	may	2	-1	0	unknown	no
58	retired	married	저학력	no	235	yes	no	unknown	5	may	1	-1	0	unknown	no
40	services	divorced	unknown	no	4384	yes	no	unknown	5	may	1	-1	0	unknown	no
54	management	married	중학력	no	4080	no	no	unknown	5	may	1	-1	0	unknown	no
34	blue-collar	single	중학력	no	53	yes	yes	unknown	5	may	1	-1	0	unknown	no
31	management	single	고학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
33	management	married	고학력	no	377	yes	no	unknown	5	may	1	-1	0	unknown	no
55	management	married	고학력	no	73	yes	no	unknown	5	may	2	-1	0	unknown	no
42	admin.	married	중학력	no	445	yes	no	unknown	5	may	1	-1	0	unknown	no
34	blue-collar	married	중학력	no	243	yes	no	unknown	5	may	1	-1	0	unknown	no
33	blue-collar	single	중학력	no	307	yes	no	unknown	5	may	2	-1	0	unknown	no
38	services	married	중학력	no	155	yes	no	unknown	5	may	1	-1	0	unknown	no
50	technician	divorced	고학력	no	173	no	yes	unknown	5	may	1	-1	0	unknown	no
43	management	married	고학력	no	400	yes	no	unknown	5	may	1	-1	0	unknown	no
61	blue-collar	divorced	저학력	no	1428	yes	no	unknown	5	may	2	-1	0	unknown	no
47	admin.	married	중학력	no	219	yes	no	unknown	5	may	1	-1	0	unknown	no
48	self-employed	married	고학력	no	7	yes	no	unknown	5	may	1	-1	0	unknown	no
44	blue-collar	married	중학력	no	575	yes	no	unknown	5	may	1	-1	0	unknown	no
35	student	single	unknown	no	298	yes	no	unknown	5	may	2	-1	0	unknown	no
35	services	married	중학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
50	services	married	중학력	no	5699	yes	no	unknown	5	may	2	-1	0	unknown	no
41	management	married	고학력	no	517	yes	no	unknown	5	may	1	-1	0	unknown	no
39	services	single	unknown	no	257	yes	no	unknown	5	may	1	-1	0	unknown	no
42	retired	married	중학력	no	56	yes	no	unknown	5	may	1	-1	0	unknown	no
53	retired	married	중학력	no	330	yes	no	unknown	5	may	2	-1	0	unknown	no
59	housemaid	divorced	저학력	no	195	no	no	unknown	5	may	2	-1	0	unknown	no
36	services	married	중학력	no	301	yes	no	unknown	5	may	1	-1	0	unknown	no
40	technician	married	고학력	no	483	yes	no	unknown	5	may	1	-1	0	unknown	no
47	unknown	married	unknown	no	28	no	no	unknown	5	may	2	-1	0	unknown	no
53	unemployed	married	unknown	no	13	no	no	unknown	5	may	3	-1	0	unknown	no
46	housemaid	married	저학력	no	965	no	no	unknown	5	may	1	-1	0	unknown	no
39	management	married	고학력	no	378	yes	yes	unknown	5	may	2	-1	0	unknown	no
40	unemployed	married	중학력	no	219	yes	no	unknown	5	may	1	-1	0	unknown	no
28	blue-collar	married	저학력	no	324	yes	no	unknown	5	may	1	-1	0	unknown	no
55	retired	married	중학력	no	0	no	yes	unknown	5	may	1	-1	0	unknown	no
43	technician	divorced	unknown	no	205	yes	no	unknown	5	may	1	-1	0	unknown	no
48	blue-collar	married	저학력	no	278	yes	no	unknown	5	may	2	-1	0	unknown	no
58	management	married	unknown	no	1065	yes	no	unknown	5	may	3	-1	0	unknown	no
33	management	single	고학력	no	34	yes	no	unknown	5	may	1	-1	0	unknown	no
36	blue-collar	married	unknown	no	1033	no	no	unknown	5	may	2	-1	0	unknown	no
53	services	divorced	중학력	no	1467	yes	no	unknown	5	may	1	-1	0	unknown	no
31	services	married	중학력	no	388	yes	no	unknown	5	may	2	-1	0	unknown	no
57	entrepreneur	married	중학력	no	294	yes	no	unknown	5	may	2	-1	0	unknown	no
53	blue-collar	married	unknown	no	1827	no	no	unknown	5	may	1	-1	0	unknown	no
55	blue-collar	married	저학력	no	627	yes	no	unknown	5	may	1	-1	0	unknown	no
45	blue-collar	married	저학력	no	25	yes	no	unknown	5	may	1	-1	0	unknown	no
53	admin.	divorced	중학력	no	315	yes	no	unknown	5	may	2	-1	0	unknown	no
44	admin.	divorced	중학력	no	66	yes	no	unknown	5	may	1	-1	0	unknown	no
46	technician	married	중학력	no	349	yes	yes	unknown	5	may	1	-1	0	unknown	no
43	entrepreneur	married	unknown	no	100	yes	no	unknown	5	may	1	-1	0	unknown	no
43	technician	married	중학력	no	434	yes	no	unknown	5	may	1	-1	0	unknown	no
49	management	married	고학력	no	3237	yes	no	unknown	5	may	3	-1	0	unknown	no
42	management	married	unknown	no	275	no	no	unknown	5	may	2	-1	0	unknown	no
22	blue-collar	single	중학력	no	0	yes	no	unknown	5	may	2	-1	0	unknown	no
40	management	married	고학력	no	207	yes	no	unknown	5	may	1	-1	0	unknown	no
39	blue-collar	married	중학력	no	483	yes	no	unknown	5	may	1	-1	0	unknown	no
51	services	married	중학력	no	2248	yes	no	unknown	5	may	2	-1	0	unknown	no
49	admin.	married	중학력	no	428	yes	no	unknown	5	may	1	-1	0	unknown	no
53	blue-collar	married	중학력	no	0	yes	yes	unknown	5	may	1	-1	0	unknown	no
34	services	single	중학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
33	technician	divorced	중학력	no	140	yes	no	unknown	5	may	1	-1	0	unknown	no
50	management	single	고학력	no	297	yes	no	unknown	5	may	1	-1	0	unknown	no
39	blue-collar	married	저학력	no	279	yes	no	unknown	5	may	1	-1	0	unknown	no
59	entrepreneur	divorced	중학력	no	901	yes	no	unknown	5	may	3	-1	0	unknown	no
30	technician	single	중학력	no	2573	yes	no	unknown	5	may	2	-1	0	unknown	no
36	services	married	중학력	no	143	yes	yes	unknown	5	may	1	-1	0	unknown	no
53	blue-collar	married	중학력	no	70	yes	no	unknown	5	may	2	-1	0	unknown	no
34	management	single	고학력	no	318	yes	no	unknown	5	may	2	-1	0	unknown	no
37	technician	married	중학력	no	275	yes	no	unknown	5	may	1	-1	0	unknown	no
42	management	divorced	고학력	no	742	yes	no	unknown	5	may	3	-1	0	unknown	no
41	entrepreneur	married	저학력	no	236	yes	no	unknown	5	may	1	-1	0	unknown	no
30	student	single	고학력	no	25	yes	no	unknown	5	may	2	-1	0	unknown	no
37	management	single	고학력	no	600	yes	no	unknown	5	may	1	-1	0	unknown	no
41	blue-collar	married	저학력	no	183	yes	yes	unknown	5	may	2	-1	0	unknown	no
40	blue-collar	married	저학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
42	management	single	고학력	no	0	yes	yes	unknown	5	may	2	-1	0	unknown	yes
40	blue-collar	divorced	저학력	no	0	yes	no	unknown	5	may	1	-1	0	unknown	no
57	technician	married	중학력	no	1078	yes	no	unknown	5	may	4	-1	0	unknown	no
56	entrepreneur	divorced	중학력	no	155	no	no	unknown	5	may	3	-1	0	unknown	no
37	admin.	married	중학력	no	190	yes	no	unknown	5	may	2	-1	0	unknown	no
59	retired	married	중학력	no	319	yes	no	unknown	5	may	3	-1	0	unknown	no
49	services	married	중학력	no	47	no	no	unknown	5	may	2	-1	0	unknown	no
38	services	single	중학력	no	570	yes	no	unknown	5	may	2	-1	0	unknown	no
36	self-employed	married	고학력	no	19	no	no	unknown	5	may	2	-1	0	unknown	no
50	blue-collar	married	저학력	no	61	yes	no	unknown	5	may	3	-1	0	unknown	no
54	technician	married	고학력	no	258	no	no	unknown	5	may	4	-1	0	unknown	no
58	blue-collar	married	저학력	no	76	yes	no	unknown	5	may	2	-1	0	unknown	no
33	admin.	single	중학력	no	352	yes	no	unknown	5	may	2	-1	0	unknown	no
50	technician	single	고학력	no	339	yes	no	unknown	5	may	3	-1	0	unknown	no
32	blue-collar	married	중학력	no	1331	yes	no	unknown	5	may	2	-1	0	unknown	no
40	self-employed	married	중학력	no	672	yes	no	unknown	5	may	2	-1	0	unknown	no
37	management	married	고학력	no	58	yes	no	unknown	5	may	2	-1	0	unknown	no
54	technician	single	unknown	no	447	yes	no	unknown	5	may	2	-1	0	unknown	no
24	student	single	중학력	no	423	yes	no	unknown	5	may	3	-1	0	unknown	no
54	management	married	고학력	no	0	no	no	unknown	5	may	2	-1	0	unknown	no
34	technician	married	중학력	no	19	yes	no	unknown	5	may	4	-1	0	unknown	no
56	technician	divorced	저학력	no	13	yes	no	unknown	5	may	2	-1	0	unknown	no
31	blue-collar	single	중학력	no	3	yes	no	unknown	5	may	2	-1	0	unknown	no
24	student	single	중학력	no	82	yes	no	unknown	5	may	2	-1	0	unknown	no
42	blue-collar	divorced	저학력	no	28	yes	no	unknown	5	may	3	-1	0	unknown	no
57	technician	married	중학력	no	792	yes	no	unknown	5	may	2	-1	0	unknown	no
42	blue-collar	married	unknown	no	408	yes	no	unknown	5	may	2	-1	0	unknown	no
51	admin.	married	중학력	no	531	yes	no	unknown	5	may	2	-1	0	unknown	no
57	retired	married	중학력	no	211	yes	no	unknown	5	may	2	-1	0	unknown	no
36	services	single	중학력	no	62	yes	no	unknown	5	may	2	-1	0	unknown	no
53	services	married	unknown	no	257	yes	no	unknown	5	may	2	-1	0	unknown	no
50	technician	married	중학력	no	1234	yes	no	unknown	5	may	2	-1	0	unknown	no
54	management	married	고학력	no	313	yes	no	unknown	5	may	2	-1	0	unknown	no
55	blue-collar	married	중학력	no	89	yes	no	unknown	5	may	3	-1	0	unknown	no
44	blue-collar	married	중학력	no	129	yes	yes	unknown	5	may	2	-1	0	unknown	no
43	management	married	unknown	no	0	yes	no	unknown	5	may	2	-1	0	unknown	no
56	admin.	married	중학력	no	353	yes	no	unknown	5	may	2	-1	0	unknown	no
54	technician	married	unknown	no	851	yes	no	unknown	5	may	2	-1	0	unknown	no
55	services	divorced	저학력	no	96	yes	yes	unknown	5	may	2	-1	0	unknown	no
37	services	divorced	중학력	no	398	yes	yes	unknown	5	may	2	-1	0	unknown	no
33	admin.	single	고학력	no	193	no	no	unknown	5	may	2	-1	0	unknown	no
36	blue-collar	married	중학력	no	539	yes	yes	unknown	5	may	2	-1	0	unknown	no
51	technician	single	중학력	no	0	yes	no	unknown	5	may	2	-1	0	unknown	no
40	retired	single	저학력	no	0	no	no	unknown	5	may	2	-1	0	unknown	no
42	blue-collar	married	중학력	no	490	yes	no	unknown	5	may	2	-1	0	unknown	no
51	blue-collar	married	중학력	no	0	yes	no	unknown	5	may	2	-1	0	unknown	no
49	blue-collar	married	unknown	no	403	yes	no	unknown	5	may	2	-1	0	unknown	no
48	management	married	중학력	no	161	yes	no	unknown	5	may	3	-1	0	unknown	no
32	technician	divorced	고학력	no	2558	no	no	unknown	5	may	2	-1	0	unknown	no
31	admin.	single	중학력	no	98	yes	no	unknown	5	may	2	-1	0	unknown	no
55	management	single	고학력	no	115	no	no	unknown	5	may	4	-1	0	unknown	no
40	blue-collar	single	중학력	no	436	yes	no	unknown	5	may	3	-1	0	unknown	no
47	technician	married	고학력	no	831	yes	no	unknown	5	may	3	-1	0	unknown	no
41	blue-collar	married	중학력	no	290	yes	no	unknown	5	may	2	-1	0	unknown	no
48	blue-collar	married	중학력	no	1	no	no	unknown	5	may	3	-1	0	unknown	no
42	blue-collar	married	unknown	no	57	yes	no	unknown	5	may	2	-1	0	unknown	no
58	management	single	고학력	no	1387	yes	no	unknown	5	may	5	-1	0	unknown	no
45	management	divorced	고학력	no	24598	yes	no	unknown	5	may	3	-1	0	unknown	no
49	blue-collar	married	중학력	no	30	yes	no	unknown	5	may	4	-1	0	unknown	no
42	admin.	single	중학력	no	1022	yes	no	unknown	5	may	2	-1	0	unknown	no
53	technician	married	중학력	no	56	yes	yes	unknown	5	may	2	-1	0	unknown	no
32	services	single	중학력	no	121	yes	no	unknown	5	may	2	-1	0	unknown	no
41	blue-collar	single	중학력	no	842	yes	no	unknown	5	may	3	-1	0	unknown	no
43	management	divorced	중학력	no	693	yes	no	unknown	5	may	3	-1	0	unknown	no
50	blue-collar	married	저학력	no	1533	yes	no	unknown	5	may	2	-1	0	unknown	no
34	management	married	고학력	no	46	yes	no	unknown	5	may	4	-1	0	unknown	no
53	services	married	unknown	no	18	no	no	unknown	5	may	2	-1	0	unknown	no
45	technician	married	중학력	no	44	yes	no	unknown	5	may	4	-1	0	unknown	no
44	services	married	고학력	no	510	yes	no	unknown	5	may	4	-1	0	unknown	no
55	management	married	고학력	no	685	yes	no	unknown	5	may	3	-1	0	unknown	no
46	management	single	고학력	no	187	yes	no	unknown	5	may	2	-1	0	unknown	no
45	blue-collar	married	중학력	no	66	yes	no	unknown	5	may	2	-1	0	unknown	no
34	admin.	married	중학력	no	560	yes	no	unknown	5	may	3	-1	0	unknown	no
36	blue-collar	married	중학력	no	0	yes	no	unknown	5	may	2	-1	0	unknown	no
59	unknown	divorced	unknown	no	27	no	no	unknown	5	may	3	-1	0	unknown	no
31	admin.	single	중학력	no	12	yes	no	unknown	5	may	2	-1	0	unknown	no
44	blue-collar	single	중학력	no	34	yes	no	unknown	5	may	4	-1	0	unknown	no
33	entrepreneur	single	고학력	no	1068	yes	no	unknown	5	may	2	-1	0	unknown	no
40	blue-collar	married	중학력	no	211	yes	no	unknown	5	may	4	-1	0	unknown	no
46	admin.	single	고학력	no	377	yes	no	unknown	5	may	2	-1	0	unknown	no
48	management	married	고학력	no	263	yes	no	unknown	5	may	2	-1	0	unknown	no
42	services	married	중학력	no	1263	yes	no	unknown	6	may	2	-1	0	unknown	no
27	services	married	중학력	no	8	yes	no	unknown	6	may	3	-1	0	unknown	no
48	admin.	married	중학력	no	126	yes	yes	unknown	6	may	2	-1	0	unknown	no
59	admin.	married	중학력	no	230	yes	no	unknown	6	may	3	-1	0	unknown	no
46	technician	married	고학력	no	841	yes	no	unknown	6	may	1	-1	0	unknown	no
38	admin.	divorced	중학력	no	308	yes	no	unknown	6	may	1	-1	0	unknown	no
43	management	divorced	고학력	no	1	yes	no	unknown	6	may	1	-1	0	unknown	no
38	admin.	divorced	고학력	no	86	yes	no	unknown	6	may	1	-1	0	unknown	no
23	student	single	중학력	no	157	yes	no	unknown	6	may	1	-1	0	unknown	no
34	services	married	중학력	no	22	yes	no	unknown	6	may	1	-1	0	unknown	no
38	admin.	married	중학력	no	46	yes	yes	unknown	6	may	1	-1	0	unknown	no
